Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,admin3RefN
Segou,ML04,Niono,ML0404,Dogofry,ML040402,Dogofry
Koulikouro,ML02,Kati,ML0204,Kambila,ML020417,Kambila
Koulikouro,ML02,Kati,ML0204,N'gabacoro,ML020423,Ngabacoro
Koulikouro,ML02,Koulikoro,ML0206,Meguetan,ML020605,Meguetan
Segou,ML04,Segou,ML0406,Samine,ML040623,Samine
Segou,ML04,Niono,ML0404,Sirifila Boundy,ML040409,Sirifila Boundy
Segou,ML04,Niono,ML0404,Kala Siguida,ML040403,Kala Siguida
Segou,ML04,Niono,ML0404,Siribala,ML040408,Siribala
Mopti,ML05,Djenne,ML0503,Togue Mourari,ML050312,Togue Mourari
Mopti,ML05,Mopti,ML0506,Ouro Modi,ML050610,Ouro Modi
Mopti,ML05,Mopti,ML0506,Koubaye,ML050607,Koubaye
Mopti,ML05,Mopti,ML0506,Socoura,ML050614,Socoura
Segou,ML04,San,ML0405,Tourakolomba,ML040524,Tourakolomba
Sikasso,ML03,Sikasso,ML0305,Diomatene,ML030506,Diomatene
Sikasso,ML03,Sikasso,ML0305,Zangaradougou,ML030542,Zangaradougou
Koulikouro,ML02,Koulikoro,ML0206,Koula,ML020603,Koula
Kayes,ML01,Kayes,ML0103,Guidimakan Keri Kaff,ML010309,Guidimakan Keri Kaff
Segou,ML04,Segou,ML0406,Cinzana,ML040604,Cinzana
Segou,ML04,San,ML0405,N'goa,ML040512,Ngoa
Segou,ML04,San,ML0405,Siadougou,ML040518,Siadougou
Sikasso,ML03,Kadiolo,ML0302,Dioumatene,ML030202,Dioumatene
Kayes,ML01,Kayes,ML0103,Somankidy,ML010326,Somankidy
Kayes,ML01,Kayes,ML0103,Same Diomboma,ML010323,Same Diomboma
Kayes,ML01,Kayes,ML0103,Bangassi,ML010301,Bangassi
Kayes,ML01,Kayes,ML0103,Liberte Dembaya,ML010317,Liberte Dembaya
Segou,ML04,San,ML0405,Niasso,ML040514,Niasso
Segou,ML04,San,ML0405,Sy,ML040521,Sy
Segou,ML04,San,ML0405,Ouolon,ML040516,Ouolon
Segou,ML04,San,ML0405,Teneni,ML040523,Teneni
Segou,ML04,San,ML0405,Baramandougou,ML040501,Baramandougou
Mopti,ML05,Mopti,ML0506,Sio,ML050613,Sio
Mopti,ML05,Djenne,ML0503,Fakala,ML050304,Fakala
Segou,ML04,San,ML0405,Somo,ML040519,Somo
Segou,ML04,San,ML0405,Dah,ML040502,Dah
Segou,ML04,Tominian,ML0407,Yasso,ML040712,Yasso
Segou,ML04,Tominian,ML0407,Sanekuy,ML040709,Sanekuy
Segou,ML04,Tominian,ML0407,Diora,ML040702,Diora
Segou,ML04,Tominian,ML0407,Timissa,ML040710,Timissa
Sikasso,ML03,Koutiala,ML0304,Konseguela,ML030413,Konseguela
Tombouctou,ML06,Goundam,ML0602,Gargando,ML060207,Gargando
Sikasso,ML03,Sikasso,ML0305,Niena,ML030531,Niena
Koulikouro,ML02,Kati,ML0204,Safo,ML020429,Safo
Sikasso,ML03,Bougouni,ML0301,Meridiela,ML030116,Meridiela
Sikasso,ML03,Bougouni,ML0301,Dogo,ML030106,Dogo
